to,from,weight,weightFrom,continenteFrom,weightTo,continenteTo
Mitología española,Mitología vasca,1,16,Europa,11,Europa
Mitología anglosajona,Mitología germana,2,26,Europa,14,Europa
Mitología de América del Sur,Mitología chilena,6,12,América,31,América
Mitología argentina,Mitología chilena,4,12,América,8,América
Mitología selknam,Mitología chilena,1,12,América,11,América
Mitología chilota,Mitología chilena,1,12,América,29,América
Mitología mapuche,Mitología chilena,1,12,América,16,América
Mitología aimara,Mitología chilena,1,12,América,5,América
Mitología peruana,Mitología chilena,1,12,América,3,América
Mitología boliviana,Mitología chilena,1,12,América,6,América
Mitología eslava,Mitología rusa,11,14,Europa,19,Europa
Mitología ucraniana,Mitología rusa,2,14,Europa,4,Europa
Mitología chilota,Mitología argentina,1,8,América,29,América
Mitología mapuche,Mitología argentina,1,8,América,16,América
Mitología española,Mitología catalana,4,7,Europa,11,Europa
Mitología francesa,Mitología catalana,1,7,Europa,8,Europa
Mitología asturiana,Mitología catalana,1,7,Europa,17,Europa
Mitología portuguesa,Mitología catalana,1,7,Europa,3,Europa
Mitología de Galicia,Mitología catalana,1,7,Europa,11,Europa
Mitología castellana,Mitología catalana,1,7,Europa,3,Europa
Mitología sumeria,Mitología acadia,62,70,Asia,91,Asia
Mitología asiria,Mitología acadia,9,70,Asia,14,Asia
Mitología hurrita,Mitología acadia,2,70,Asia,5,Asia
Mitología levantina,Mitología acadia,1,70,Asia,3,Asia
Mitología cananea,Mitología acadia,1,70,Asia,8,Asia
Mitología asiria,Mitología sumeria,9,91,Asia,14,Asia
Mitología hurrita,Mitología sumeria,2,91,Asia,5,Asia
Mitología levantina,Mitología sumeria,1,91,Asia,3,Asia
Mitología cananea,Mitología sumeria,1,91,Asia,8,Asia
Mitología incaica,Mitología aimara,1,5,América,14,América
Mitología peruana,Mitología aimara,1,5,América,3,América
Mitología boliviana,Mitología aimara,1,5,América,6,América
Mitología peruana,Mitología de América del Sur,1,31,América,3,América
Mitología chilota,Mitología de América del Sur,1,31,América,29,América
Mitología selknam,Mitología de América del Sur,11,31,América,11,América
Mitología española,Mitología de América del Sur,1,31,América,11,Europa
Mitología portuguesa,Mitología de América del Sur,1,31,América,3,Europa
Mitología amazónica,Mitología de América del Sur,1,31,América,10,América
Mitología boliviana,Mitología de América del Sur,1,31,América,6,América
Mitología de América Central,Mitología de América del Sur,1,31,América,8,América
Mitología boliviana,Mitología peruana,2,3,América,6,América
Mitología asturiana,Mitología cántabra,4,21,Europa,17,Europa
Mitología de Galicia,Mitología cántabra,4,21,Europa,11,Europa
Mitología portuguesa,Mitología cántabra,1,21,Europa,3,Europa
Mitología coreana,Mitología china,5,96,Asia,24,Asia
Mitología hurrita,Mitología asiria,2,14,Asia,5,Asia
Mitología levantina,Mitología asiria,1,14,Asia,3,Asia
Mitología cananea,Mitología asiria,1,14,Asia,8,Asia
Mitología hitita,Mitología hurrita,1,5,Asia,6,Asia
Mitología anatolia,Mitología hurrita,1,5,Asia,2,Asia
Mitología anatolia,Mitología hitita,1,6,Asia,2,Asia
Mitología hattiana,Mitología hitita,2,6,Asia,2,Asia
Mitología oceánica,Mitología de Micronesia,1,4,Oceanía,10,Oceanía
Mitología filistea,Mitología cananea,1,8,Asia,4,Asia
Mitología abrahámica,Mitología cananea,1,8,Asia,2,Asia
Mitología filistea,Mitología levantina,1,3,Asia,4,Asia
Mitología de Polinesia,Mitología oceánica,2,10,Oceanía,2,Oceanía
Mitología pascuense,Mitología oceánica,4,10,Oceanía,4,Oceanía
Mitología samoana,Mitología oceánica,1,10,Oceanía,1,Oceanía
Mitología hawaiana,Mitología oceánica,1,10,Oceanía,7,Oceanía
Mitología maorí,Mitología oceánica,1,10,Oceanía,4,Oceanía
Mitología maorí,Mitología de Polinesia,1,2,Oceanía,4,Oceanía
Mitología colombiana,Mitología amazónica,1,10,América,4,América
Mitología boliviana,Mitología amazónica,1,10,América,6,América
Mitología ucraniana,Mitología eslava,2,19,Europa,4,Europa
Mitología mapuche,Mitología chilota,2,29,América,16,América
Mitología asturiana,Mitología francesa,1,8,Europa,17,Europa
Mitología española,Mitología francesa,2,8,Europa,11,Europa
Mitología portuguesa,Mitología francesa,1,8,Europa,3,Europa
Mitología de Galicia,Mitología francesa,1,8,Europa,11,Europa
Mitología castellana,Mitología francesa,1,8,Europa,3,Europa
Mitología del Caribe,Mitología colombiana,1,4,América,6,América
Mitología de Galicia,Mitología asturiana,8,17,Europa,11,Europa
Mitología española,Mitología asturiana,1,17,Europa,11,Europa
Mitología portuguesa,Mitología asturiana,2,17,Europa,3,Europa
Mitología castellana,Mitología asturiana,1,17,Europa,3,Europa
Mitología de América Central,Mitología mesoamericana,2,6,América,8,América
Mitología tolteca,Mitología mesoamericana,2,6,América,8,América
Mitología olmeca,Mitología tolteca,2,8,América,2,América
Mitología portuguesa,Mitología española,2,11,Europa,3,Europa
Mitología de Galicia,Mitología española,1,11,Europa,11,Europa
Mitología castellana,Mitología española,2,11,Europa,3,Europa
Mitología de Galicia,Mitología portuguesa,2,3,Europa,11,Europa
Mitología castellana,Mitología portuguesa,1,3,Europa,3,Europa
Mitología boliviana,Mitología incaica,1,14,América,6,América
Mitología quechua,Mitología incaica,1,14,América,3,América
Mitología castellana,Mitología de Galicia,1,11,Europa,3,Europa
Mitología quechua,Mitología boliviana,1,6,América,3,América
Mitología hopi,Mitología pueblo,1,1,América,1,América
